Matchup,Battles,Winrate
Battlecruiser/VoidRay vs Queen/Roach,1,1.0
Carrier/Ravager vs Roach/Tempest,1,1.0
Battlecruiser/Colossus vs Carrier/Ghost,1,1.0
Archon/Ultralisk vs Mothership/Oracle,1,1.0
DarkTemplar/Infestor vs Hellion/Ravager,1,1.0
Adept/VoidRay vs Battlecruiser/Oracle,1,1.0
Banshee/DarkTemplar vs Cyclone/Ultralisk,1,1.0
Marine/Mothership vs Raven/WidowMine,1,1.0
Carrier/Reaper vs SiegeTankSieged/Viking,1,1.0
Carrier/Marine vs Oracle/Tempest,1,1.0
Colossus/Lurker vs Hydralisk/Marine,1,1.0
Archon/Marauder vs Hellion/Zergling,1,1.0
Adept/HighTemplar vs Archon/Corruptor,1,1.0
Cyclone/DarkTemplar vs Mutalisk/WidowMineBurrowed,1,1.0
Adept/Mutalisk vs Phoenix/Stalker,1,1.0
Carrier/Hellion vs Phoenix/SiegeTankSieged,1,1.0
Banshee/Infestor vs Raven/VoidRay,1,1.0
Oracle/Thor vs Stalker/VoidRay,1,1.0
BattleHellion/Oracle vs Colossus/DarkTemplar,1,1.0
Ghost/Oracle vs Queen/Tempest,1,1.0
Battlecruiser/Hydralisk vs Marauder/SwarmHostBurrowed,1,1.0
Cyclone/Marine vs Mothership/ThorAP,1,1.0
Immortal/Stalker vs Marine/VoidRay,1,1.0
Battlecruiser/LurkerBurrowed vs Colossus/Ultralisk,1,1.0
Baneling/Tempest vs Marine/VoidRay,1,1.0
BroodLord/Infestor vs Immortal/Stalker,1,1.0
Battlecruiser/Ultralisk vs Carrier/Hydralisk,1,1.0
Archon/VoidRay vs Oracle/Phoenix,1,1.0
Baneling/VoidRay vs Banshee/DarkTemplar,1,1.0
Infestor/Raven vs ThorAP/Viking,1,1.0
Baneling/Battlecruiser vs Banshee/WidowMineBurrowed,1,1.0
Immortal/Tempest vs Phoenix/Queen,1,1.0
Corruptor/Tempest vs Liberator/Viking,1,1.0
Hydralisk/Queen vs VikingAssault/VoidRay,1,1.0
Banshee/Battlecruiser vs Marine/SiegeTank,1,1.0
BroodLord/Marine vs Corruptor/Infestor,1,1.0
Colossus/Raven vs DarkTemplar/Ultralisk,1,1.0
Carrier/Infestor vs HighTemplar/Ravager,1,1.0
Carrier/LiberatorAG vs Hydralisk/Thor,1,1.0
Baneling/Marauder vs Infestor/VikingAssault,1,1.0
Banshee/Marine vs LiberatorAG/SiegeTankSieged,1,1.0
Adept/LiberatorAG vs Cyclone/Zergling,1,1.0
BattleHellion/Mutalisk vs Marine/WidowMineBurrowed,1,1.0
Archon/HighTemplar vs Carrier/Marauder,1,1.0
DarkTemplar/Marauder vs Immortal/Ultralisk,1,1.0
Archon/Raven vs Corruptor/Zergling,1,1.0
Carrier/Corruptor vs Cyclone/HighTemplar,1,1.0
Battlecruiser/Mutalisk vs Reaper/Thor,1,1.0
Carrier/Marine vs Liberator/Reaper,1,1.0
Archon/Colossus vs Corruptor/Marine,1,1.0
Infestor/Raven vs Reaper/Roach,1,1.0
Carrier/Tempest vs Hydralisk/Stalker,1,1.0
Carrier/DarkTemplar vs HighTemplar/Roach,1,1.0
Battlecruiser/SiegeTank vs BroodLord/Phoenix,1,1.0
Battlecruiser/Ghost vs DarkTemplar/VoidRay,1,1.0
Archon/Ultralisk vs Tempest/ThorAP,1,1.0
BroodLord/Carrier vs Colossus/Raven,1,1.0
Archon/VoidRay vs Banshee/Immortal,1,1.0
Battlecruiser/Corruptor vs Liberator/Phoenix,1,1.0
Carrier/Ravager vs DarkTemplar/LurkerBurrowed,1,1.0
Colossus/Oracle vs Reaper/Zergling,1,1.0
Hellion/Infestor vs SiegeTankSieged/Stalker,1,1.0
Battlecruiser/VikingAssault vs HighTemplar/Ultralisk,1,1.0
Banshee/Liberator vs Colossus/Cyclone,1,1.0
