Hand,Battles,Winrate
Queen/Zergling,20,0.4
BattleHellion/Roach,10,0.4
ThorAP/Zealot,15,0.4
Immortal/LiberatorAG,5,0.4
DarkTemplar/Viking,15,0.4
Marauder/Mutalisk,20,0.4
SwarmHostBurrowed/WidowMineBurrowed,10,0.4
Banshee/Hellion,15,0.4
Mothership/Ultralisk,5,0.4
Adept/Lurker,5,0.4
Corruptor/Immortal,26,0.40384615384615385
Cyclone/Phoenix,26,0.40384615384615385
Banshee/Ghost,26,0.40384615384615385
Corruptor/Mutalisk,26,0.40384615384615385
Corruptor/Marauder,26,0.40384615384615385
Baneling/Ultralisk,21,0.40476190476190477
Hydralisk/ThorAP,21,0.40476190476190477
Hellion/Tempest,21,0.40476190476190477
Banshee/BattleHellion,16,0.40625
Liberator/Zergling,16,0.40625
Ultralisk/Zergling,16,0.40625
Baneling/SwarmHostBurrowed,16,0.40625
Immortal/Queen,27,0.4074074074074074
Hellion/Zealot,11,0.4090909090909091
Banshee/Corruptor,22,0.4090909090909091
Corruptor/HighTemplar,22,0.4090909090909091
Adept/HighTemplar,28,0.4107142857142857
Archon/HighTemplar,28,0.4107142857142857
BroodLord/Marauder,17,0.4117647058823529
Colossus/Zergling,17,0.4117647058823529
Colossus/Queen,23,0.41304347826086957
BattleHellion/Ghost,23,0.41304347826086957
BroodLord/Roach,23,0.41304347826086957
Banshee/BroodLord,24,0.4166666666666667
DarkTemplar/Hellion,36,0.4166666666666667
Corruptor/Hellion,12,0.4166666666666667
Colossus/Ultralisk,24,0.4166666666666667
Baneling/Immortal,18,0.4166666666666667
BroodLord/LurkerBurrowed,6,0.4166666666666667
Thor/VoidRay,6,0.4166666666666667
Ravager/SiegeTank,6,0.4166666666666667
Immortal/VikingAssault,12,0.4166666666666667
Corruptor/LiberatorAG,6,0.4166666666666667
SwarmHostBurrowed/ThorAP,19,0.42105263157894735
Ravager/Zealot,19,0.42105263157894735
BroodLord/Hydralisk,19,0.42105263157894735
Colossus/Stalker,26,0.4230769230769231
Immortal/Roach,13,0.4230769230769231
ThorAP/VikingAssault,13,0.4230769230769231
Colossus/Immortal,20,0.425
Adept/Immortal,20,0.425
Hydralisk/Phoenix,27,0.42592592592592593
Mutalisk/Oracle,34,0.4264705882352941
LiberatorAG/VikingAssault,7,0.42857142857142855
Hellion/Mothership,7,0.42857142857142855
Marauder/Marine,14,0.42857142857142855
Lurker/Ravager,7,0.42857142857142855
Archon/Zealot,22,0.4318181818181818
Stalker/Zealot,22,0.4318181818181818
Phoenix/SwarmHostBurrowed,22,0.4318181818181818
Immortal/SwarmHostBurrowed,15,0.43333333333333335
Banshee/SwarmHostBurrowed,15,0.43333333333333335
Hydralisk/Queen,30,0.43333333333333335
Oracle/SwarmHostBurrowed,15,0.43333333333333335
DarkTemplar/Roach,46,0.43478260869565216
Archon/Zergling,23,0.43478260869565216
Cyclone/Reaper,16,0.4375
LurkerBurrowed/Tempest,8,0.4375
Hydralisk/SiegeTank,8,0.4375
Hydralisk/Ultralisk,24,0.4375
Adept/Marauder,8,0.4375
DarkTemplar/Zealot,50,0.44
Baneling/Roach,17,0.4411764705882353
Stalker/Zergling,17,0.4411764705882353
Baneling/SiegeTank,17,0.4411764705882353
Battlecruiser/Marauder,26,0.4423076923076923
Archon/Queen,53,0.44339622641509435
Archon/Corruptor,36,0.4444444444444444
Mutalisk/WidowMineBurrowed,9,0.4444444444444444
Cyclone/Immortal,27,0.4444444444444444
Adept/Stalker,18,0.4444444444444444
SiegeTankSieged/VoidRay,18,0.4444444444444444
HighTemplar/SiegeTank,9,0.4444444444444444
Reaper/Tempest,28,0.44642857142857145
Liberator/Queen,19,0.4473684210526316
Liberator/SwarmHostBurrowed,19,0.4473684210526316
Hellion/ThorAP,19,0.4473684210526316
BroodLord/Corruptor,38,0.4473684210526316
Immortal/Ravager,19,0.4473684210526316
Adept/DarkTemplar,48,0.4479166666666667
BattleHellion/Phoenix,20,0.45
Banshee/Carrier,40,0.45
Archon/Hellion,20,0.45
Hydralisk/Marauder,21,0.4523809523809524
Cyclone/SwarmHostBurrowed,21,0.4523809523809524
HighTemplar/Marine,21,0.4523809523809524
ThorAP/Zergling,21,0.4523809523809524
Raven/SiegeTankSieged,11,0.45454545454545453
Marauder/Zealot,11,0.45454545454545453
Corruptor/Reaper,11,0.45454545454545453
Medivac/Queen,24,0.4583333333333333
Mothership/Stalker,12,0.4583333333333333
BattleHellion/SwarmHostBurrowed,12,0.4583333333333333
Mothership/Mutalisk,12,0.4583333333333333
Marauder/Ultralisk,12,0.4583333333333333
HighTemplar/Queen,37,0.4594594594594595
BattleHellion/Colossus,25,0.46
HighTemplar/Mutalisk,25,0.46
DarkTemplar/Lurker,13,0.46153846153846156
Oracle/Ultralisk,27,0.46296296296296297
Adept/Queen,27,0.46296296296296297
Banshee/ThorAP,14,0.4642857142857143
BroodLord/HighTemplar,29,0.46551724137931033
Adept/Phoenix,29,0.46551724137931033
Stalker/Tempest,29,0.46551724137931033
Colossus/Ghost,29,0.46551724137931033
Mutalisk/Stalker,31,0.46774193548387094
Adept/Oracle,31,0.46774193548387094
Marauder/Tempest,31,0.46774193548387094
Archon/Stalker,32,0.46875
HighTemplar/Tempest,33,0.4696969696969697
Mutalisk/Roach,17,0.47058823529411764
Mothership/VoidRay,18,0.4722222222222222
DarkTemplar/SiegeTank,18,0.4722222222222222
Hydralisk/Tempest,37,0.47297297297297297
HighTemplar/Stalker,37,0.47297297297297297
Immortal/Mothership,19,0.47368421052631576
DarkTemplar/Marauder,38,0.47368421052631576
Hellion/Liberator,19,0.47368421052631576
HighTemplar/Phoenix,39,0.47435897435897434
Baneling/DarkTemplar,40,0.475
Marine/Ultralisk,20,0.475
Colossus/Corruptor,20,0.475
BattleHellion/DarkTemplar,41,0.47560975609756095
Mothership/Tempest,21,0.47619047619047616
Banshee/Mutalisk,21,0.47619047619047616
Ravager/Stalker,21,0.47619047619047616
Marine/Zealot,22,0.4772727272727273
Infestor/SwarmHostBurrowed,22,0.4772727272727273
Baneling/Zergling,22,0.4772727272727273
Corruptor/ThorAP,25,0.48
Ghost/Hellion,25,0.48
Immortal/Infestor,26,0.4807692307692308
Infestor/Roach,26,0.4807692307692308
Marine/Phoenix,27,0.48148148148148145
Archon/Marauder,27,0.48148148148148145
HighTemplar/VoidRay,27,0.48148148148148145
DarkTemplar/Reaper,28,0.48214285714285715
Colossus/VoidRay,29,0.4827586206896552
Archon/Raven,29,0.4827586206896552
HighTemplar/Immortal,31,0.4838709677419355
Banshee/VoidRay,31,0.4838709677419355
Baneling/BroodLord,31,0.4838709677419355
Immortal/Marine,31,0.4838709677419355
BattleHellion/Tempest,31,0.4838709677419355
Phoenix/Roach,32,0.484375
Archon/Hydralisk,35,0.4857142857142857
Carrier/Oracle,36,0.4861111111111111
Ghost/Ultralisk,36,0.4861111111111111
Mutalisk/Raven,37,0.4864864864864865
BroodLord/Ultralisk,43,0.4883720930232558
Corruptor/Tempest,45,0.4888888888888889
Tempest/VoidRay,48,0.4895833333333333
DarkTemplar/Immortal,56,0.49107142857142855
Stalker/VoidRay,30,0.5
Viking/WidowMineBurrowed,3,0.5
BroodLord/Queen,31,0.5
Corruptor/VoidRay,33,0.5
Mothership/VikingAssault,6,0.5
Lurker/Marine,9,0.5
Stalker/SwarmHostBurrowed,15,0.5
Adept/Mothership,10,0.5
Queen/Reaper,30,0.5
HighTemplar/Zealot,9,0.5
Oracle/Zealot,18,0.5
Marine/Medivac,9,0.5
Colossus/Mothership,11,0.5
Liberator/Marauder,16,0.5
Marine/Mutalisk,18,0.5
Ghost/Queen,35,0.5
BattleHellion/VoidRay,32,0.5
Ravager/VikingAssault,14,0.5
Corruptor/Ravager,24,0.5
BattleHellion/Marine,21,0.5
HighTemplar/Liberator,17,0.5
Battlecruiser/SiegeTank,7,0.5
Battlecruiser/SiegeTankSieged,20,0.5
Immortal/Thor,6,0.5
BroodLord/Stalker,30,0.5
Oracle/Tempest,32,0.5
